energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri,name,artist
0.785,0.188,99.936,0.0571,0.486,0.000107,4,0.766,7,164523,-6.939,0.746,0,spotify:track:7KiA7XXnOE98FjEtN092EP,Me Miras,Cyril Kamer
0.815,0.0881,145.0,0.0547,0.174,1.86e-05,4,0.737,7,192000,-5.024,0.704,0,spotify:track:69v35PjrZ0YV6G2e46aDL9,Duro,Cyril Kamer
0.494,0.0868,144.073,0.208,0.543,4.66e-06,4,0.91,5,186117,-9.149,0.757,0,spotify:track:2g3YVNcxRdWbRhtsqdpcH0,9 de Marzo,Cyril Kamer
0.734,0.41,168.922,0.399,0.617,0.0,4,0.52,6,137143,-5.419,0.79,0,spotify:track:0nossc9MZd0RIbYZMrazge,96ERS,Hoke
0.421,0.0874,129.976,0.494,0.869,0.000175,4,0.851,9,140308,-13.727,0.184,0,spotify:track:3HXJPxoSjgA9YAgjFI4Yn9,Moondial,Hoke
0.402,0.127,86.072,0.406,0.608,0.0,4,0.537,8,199875,-12.9,0.581,0,spotify:track:5lsFas5fTdn2RJS66gvCwS,HI TECH,Hoke
0.263,0.0919,170.724,0.0376,0.947,0.00028,4,0.218,11,232373,-14.416,0.307,1,spotify:track:4GvdsVns332wQ3JsWAg2OV,Funeral,Phoebe Bridgers
0.623,0.0925,89.937,0.0331,0.538,7.28e-05,4,0.532,5,261923,-9.208,0.403,1,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift
0.343,0.12,119.94,0.0305,0.805,0.0182,4,0.457,0,285051,-9.387,0.0562,1,spotify:track:0HEzuLLojblUOaUSdmJ9gl,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey
0.271,0.301,71.855,0.0418,0.73,0.0,4,0.325,7,216611,-8.069,0.279,1,spotify:track:193Dm5SqYy3hTSbuzxbwKc,Writer In The Dark,Lorde
0.518,0.088,93.023,0.0303,0.274,0.0,4,0.631,0,613027,-8.771,0.205,1,spotify:track:5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift
0.38,0.11,75.602,0.0287,0.778,5.62e-05,4,0.298,6,285634,-8.426,0.152,1,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),Taylor Swift
0.323,0.233,111.826,0.0351,0.33,0.0229,4,0.323,1,344693,-10.268,0.256,1,spotify:track:0pJW1Xw3aY4Eh6k5iuBkfI,I Know The End,Phoebe Bridgers
0.483,0.31,87.996,0.0879,0.237,7.99e-05,4,0.73,4,192621,-8.565,0.883,1,spotify:track:7s2kWabRM60W9I61HpKg8C,Solar Power,Lorde
0.38,0.104,135.939,0.0473,0.897,0.175,4,0.581,11,214867,-12.162,0.489,1,spotify:track:693xmBAOD4xwkS4W71W1Jn,Emily I'm Sorry,boygenius
0.433,0.113,124.979,0.0467,0.837,0.0294,4,0.624,6,218587,-9.572,0.589,1,spotify:track:4h5x3XHLVYFJaItKuO2rhy,Ghost in the Machine (feat. Phoebe Bridgers),SZA
0.243,0.107,154.909,0.056,0.869,0.00369,3,0.339,1,277677,-12.512,0.183,1,spotify:track:46RNrAkGsqWTDrv2ZPOAbx,Moon Song,Phoebe Bridgers
0.104,0.162,86.675,0.0635,0.964,0.0,4,0.49,4,324499,-13.208,0.278,0,spotify:track:0fB77VOZ2FkQeKLv1DuEwp,hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey
0.654,0.122,111.968,0.0335,0.0542,1.8e-06,4,0.565,1,265427,-6.826,0.235,0,spotify:track:3BJe4B8zGnqEdQPMvfVjuS,Summertime Sadness,Lana Del Rey
0.445,0.0778,97.031,0.113,0.0328,0.0104,4,0.487,1,367391,-10.959,0.18,0,spotify:track:1Dp7JGFNjvg8Nk0CtMCcnr,Hard Feelings/Loveless,Lorde
0.79,0.0989,119.082,0.0311,0.135,3.97e-06,4,0.626,2,235767,-4.302,0.416,1,spotify:track:3CeCwYWvdfXbZLXFhBrbnf,Love Story (Taylor’s Version),Taylor Swift
0.396,0.125,120.041,0.0656,0.401,5.2e-06,4,0.696,2,194207,-10.289,0.38,1,spotify:track:4D7BCuvgdJlYvlX5WlN54t,"You're On Your Own, Kid",Taylor Swift
0.662,0.109,147.922,0.0413,0.467,0.0023,4,0.686,7,230999,-8.505,0.706,1,spotify:track:2Eeur20xVqfUoM3Q7EFPFt,the last great american dynasty,Taylor Swift
0.229,0.1,75.67,0.128,0.92,0.0,4,0.587,10,171728,-11.254,0.379,0,spotify:track:6Kkt27YmFyIFrcX3QXFi2o,Liability,Lorde
0.44,0.105,128.999,0.0325,0.931,0.0196,3,0.377,4,241640,-11.878,0.224,1,spotify:track:5BN59BDczcpxstFKILIH0q,Savior Complex,Phoebe Bridgers
0.749,0.0915,131.024,0.0419,0.0467,0.295,4,0.6,11,184524,-6.889,0.485,1,spotify:track:4vjvx7Zxkb4AltGcZ0BBvI,Kyoto,Phoebe Bridgers
0.127,0.113,171.668,0.0368,0.972,5.63e-06,5,0.326,0,189213,-13.775,0.076,1,spotify:track:0ThaVtdQ5zuAYLjvoT342v,Killer,Phoebe Bridgers
0.546,0.0842,107.021,0.0357,0.774,0.0437,4,0.651,1,229760,-9.021,0.623,1,spotify:track:25Syi9wnfn6ZGAmiOBypPq,Motion Sickness,Phoebe Bridgers
0.276,0.113,201.025,0.0643,0.877,0.000249,3,0.334,4,271177,-13.125,0.429,0,spotify:track:7bPWdJgx8vek7S5i5yAtvG,Chemtrails Over The Country Club,Lana Del Rey
0.643,0.142,97.008,0.0519,0.13,1.8e-06,4,0.637,4,200690,-6.571,0.533,1,spotify:track:0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift
0.102,0.109,169.69,0.034,0.985,0.0512,3,0.315,0,206723,-17.621,0.185,0,spotify:track:0Oqxt6JixieLHbwMfnJGWO,"Paris, Texas (feat. SYML)",Lana Del Rey
0.119,0.0973,70.499,0.0401,0.969,1.4e-06,4,0.467,2,272485,-10.99,0.156,1,spotify:track:3lG6OtGDsYAOALxEmubQQm,Happiness is a butterfly,Lana Del Rey
0.461,0.358,131.325,0.0274,0.368,0.00115,4,0.467,1,280187,-7.94,0.188,0,spotify:track:51EMSRpNm9Rg5rGViVCczv,Andromeda,Weyes Blood
0.543,0.202,99.963,0.0272,0.000825,0.0137,4,0.445,0,278640,-8.196,0.102,1,spotify:track:3sslYZcFKtUvIEWN9lADgr,First Love/Late Spring,Mitski
0.79,0.178,146.203,0.0402,0.262,0.00331,4,0.47,7,296333,-7.718,0.368,1,spotify:track:48Qes8IUekSZpcNDQgYzUX,True Blue,boygenius
0.455,0.124,109.885,0.0575,0.731,1.47e-06,5,0.445,7,167538,-6.405,0.151,1,spotify:track:4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",Gracie Abrams
0.527,0.126,127.999,0.0414,0.771,1.3e-06,4,0.636,10,249494,-7.472,0.222,1,spotify:track:7AX1eCw6qcX54PrDylynJr,Block me out,Gracie Abrams
0.316,0.258,116.973,0.063,0.411,6.59e-05,4,0.832,9,227260,-15.258,0.329,1,spotify:track:18aImFRizYHe2MwD5EDWZh,Numb,Aftertheparty
0.676,0.184,139.983,0.086,0.306,0.0,4,0.643,5,192041,-5.95,0.303,0,spotify:track:5PZX788f0l7TZVspvXv4tr,Routine,Eli Sostre
0.664,0.145,161.074,0.0828,0.196,0.0854,4,0.601,6,219035,-7.126,0.483,1,spotify:track:4oQa2jrXd3dqbMGNC7oyqf,Timezones,MANILA GREY
0.765,0.0846,144.991,0.171,0.345,0.0,4,0.806,10,206897,-4.765,0.53,0,spotify:track:6hK9rzweEnK3kQEGFUW7Im,XS,Josman
0.495,0.124,140.01,0.189,0.288,0.0,4,0.845,8,178900,-7.942,0.624,1,spotify:track:6hk2AhbfCm2aQvfnS5avUm,Mi Isla / 10k,Cruz Cafuné
0.48,0.538,139.955,0.132,0.147,0.0,4,0.691,1,163448,-8.619,0.789,0,spotify:track:1GSXwkenS9XV0LzcbBu4pN,bedouin,samxsen
0.587,0.0492,129.244,0.0946,0.0839,0.0,4,0.82,9,218000,-8.681,0.856,0,spotify:track:2HuHVkQC4P4ePPi0MZa9KD,Fuego,Manu Crooks
0.35,0.076,104.997,0.0475,0.137,0.127,4,0.812,8,220775,-12.033,0.291,1,spotify:track:7eSxCEPUyujRSQBjhFjIwo,When the Night Comes,Eli Sostre
0.557,0.103,149.965,0.069,0.369,3.53e-05,4,0.747,1,195200,-8.971,0.552,0,spotify:track:4JRe23RYB0fN3rkYj1Uqm2,12,88GLAM
0.386,0.217,129.971,0.205,0.214,0.000103,4,0.879,9,253452,-12.887,0.248,0,spotify:track:6BOO8QBkSJG8T7WoZsgOLC,Reflection,Aftertheparty
0.565,0.142,157.446,0.154,0.366,0.0,3,0.48,7,274286,-6.625,0.416,0,spotify:track:6U4GZZudA2fTX9Xt0lQZR4,Space Jam,Mir Fontane
0.723,0.146,111.01,0.172,0.349,0.0,4,0.749,4,285441,-5.672,0.319,0,spotify:track:4Q0hdv98TkKvo17ALUuVPA,Low,Frank Casino
0.366,0.261,119.985,0.0941,0.0996,0.0,4,0.91,1,152000,-9.954,0.74,1,spotify:track:2MShy1GSSgbmGUxADNIao5,Calling My Spirit,Kodak Black
0.651,0.0868,160.127,0.251,0.134,0.00639,4,0.849,3,163827,-5.823,0.504,1,spotify:track:0zr1I2BrLp2V2iLPDS0us8,Flex,Fuego
0.384,0.0893,161.977,0.456,0.0247,6.97e-05,4,0.863,1,240000,-12.63,0.448,0,spotify:track:4vSEf1cgyGx0HMV9CPS4RE,Before I Die,Che Ecru
0.56,0.167,141.368,0.183,0.712,0.0,4,0.552,4,160000,-7.936,0.204,0,spotify:track:5AetLRcSQpvsflK7f1X4oR,Frank Ocean,Mir Fontane
0.43,0.147,145.008,0.0488,0.742,0.0574,4,0.716,9,168828,-9.8,0.548,0,spotify:track:44QFbNz6R0IRtqmyAc4V2I,Kill Bill,Ellegas
0.516,0.203,141.962,0.361,0.181,0.0,4,0.84,4,209723,-9.583,0.482,0,spotify:track:01HGXW27UXeMWa8Eglzgcf,NORTHSIDE,Ama Lou
0.43,0.11,120.025,0.111,0.303,0.0,5,0.699,10,168493,-8.641,0.39,0,spotify:track:6Vzs6iGlyb4JTnVX5NAoFk,Purple Baguettes,88GLAM
0.531,0.0912,141.883,0.158,0.291,0.0,4,0.677,4,192676,-6.237,0.445,0,spotify:track:3zZKIssGsAIhXlWHARtVFw,Bodega,Mir Fontane
0.526,0.0946,122.104,0.0343,0.488,0.0,4,0.723,3,190820,-7.581,0.341,0,spotify:track:3Aad72SHQuceJD0HgsYY5p,Curvas,Ellegas
0.504,0.167,71.997,0.0987,0.31,1.2e-06,4,0.66,5,247500,-7.002,0.332,0,spotify:track:4dEHgrFQJ3kiztCS8sG5oA,Surface (feat. A2),Etta Bond
0.535,0.0921,103.491,0.0261,0.0965,0.0552,4,0.695,10,204243,-8.902,0.163,0,spotify:track:783HW2WzbtDifgPrQDaxvZ,New Addy,Eli Sostre
0.772,0.0991,135.984,0.115,0.623,0.000301,4,0.86,1,199412,-5.855,0.745,1,spotify:track:5gPduN6BjQjS45XBiayftw,Stolen,Rasstokyo
0.286,0.101,116.956,0.129,0.766,0.0313,4,0.554,0,141173,-12.404,0.0612,1,spotify:track:4aNJ0WZCsawOOzu6sQ2h1w,Monte Carlo,Aftertheparty
0.526,0.155,133.001,0.171,0.0278,0.0,4,0.914,0,152492,-7.868,0.544,0,spotify:track:3ykA77h9GmRVOkyWxAdM4F,Cuando Estoy Mal,Cruz Cafuné
0.581,0.234,75.992,0.0456,0.177,2.26e-05,4,0.728,4,205337,-6.379,0.309,1,spotify:track:6ZsVsOhqrhGriCvOnYYOpP,No Puedo Cambiar,Choclock
0.481,0.101,100.155,0.0566,0.47,1.3e-06,4,0.674,5,210685,-9.102,0.429,0,spotify:track:1ugsm8Ri9LF1RTOV1EHIyd,You Got It,Vory
0.321,0.102,119.905,0.0754,0.53,1.1e-05,4,0.68,8,204000,-11.19,0.379,0,spotify:track:5g5ipKY8Jx5R328P80wBoJ,Na' Que Pueda Hacer,Ellegas
0.793,0.0497,156.933,0.112,0.237,0.0,4,0.76,11,184000,-6.038,0.683,0,spotify:track:2ST8crBinGOotMBXjVfvkd,Wild,4FLEX
0.539,0.0867,115.136,0.0368,0.259,1.02e-06,4,0.661,5,245107,-5.564,0.111,0,spotify:track:0OaSLPPZIKgyRleJTHSmTm,Argentique,Dinos
0.384,0.0845,155.958,0.461,0.306,0.0,4,0.848,9,149247,-8.068,0.478,1,spotify:track:6Thih01syKdZ3bs5ogfMSe,Si No Estás Aquí,One Path
0.704,0.329,101.007,0.141,0.249,0.0,4,0.769,1,303400,-5.365,0.765,0,spotify:track:30QxFizyyxB7sPE8n7RWNJ,Spanish,Craig David
0.532,0.261,140.01,0.118,0.0613,0.0,4,0.811,9,195429,-6.843,0.569,0,spotify:track:2xcaABUXHZ5WNc6TtmghbX,Condiciones,Maikel Delacalle
0.812,0.0951,83.014,0.0487,0.23,0.0,4,0.659,4,235133,-7.499,0.888,0,spotify:track:0gPQTLaqHDgdupKEok7J2x,7 Days,Craig David
0.388,0.0885,75.992,0.057,0.432,2.27e-06,4,0.74,6,105500,-10.977,0.66,0,spotify:track:6aQOdVS4SLBoCk4ZDfFEPg,Arabian Knights,Mishaal Tamer
0.404,0.219,122.062,0.23,0.205,0.0,4,0.789,1,235566,-8.364,0.472,1,spotify:track:4n4BflhWjCHIxrI4v7Xt9s,How Bout Now,Drake
0.537,0.225,82.878,0.079,0.0727,0.000127,5,0.344,8,212880,-8.215,0.453,0,spotify:track:2ekdnv2xVIyAdG3ySoDDeY,Wus Good / Curious,PARTYNEXTDOOR
0.569,0.11,113.837,0.335,0.468,0.0,5,0.851,1,167490,-5.084,0.212,1,spotify:track:2Jvcvvz3qqNsFEzryvcaCs,WINE,B Young
0.417,0.0941,169.953,0.433,0.0562,0.000521,4,0.836,7,206361,-6.299,0.143,1,spotify:track:6aG6dX4bvQ7iCvWz78pHlc,Dolores,Choclock
0.702,0.11,122.027,0.072,0.0582,0.0,4,0.804,11,165246,-6.553,0.575,0,spotify:track:1MCSc1ZxlwV5muFXKocAnW,Barrio,Mahmood
0.352,0.0959,104.937,0.0475,0.108,0.00183,4,0.746,1,198857,-17.014,0.499,0,spotify:track:0lts3qQujlgisNiFwGLARx,Every Night,Abhir Hathi
0.654,0.137,194.091,0.464,0.564,2.09e-06,4,0.592,0,109748,-9.797,0.825,1,spotify:track:3FRpUkpDtyGCpWOYBLrcVk,Supernova,Mr Eazi
0.46,0.0994,179.95,0.173,0.64,0.0,4,0.749,8,228000,-10.767,0.355,0,spotify:track:4eJE5ZNP3lYj4ZLv7oRblQ,Lghrib,L7or
0.567,0.0299,96.048,0.0525,0.00316,0.000219,4,0.832,7,182739,-6.265,0.759,0,spotify:track:4cINonbnfAcdw2u2Bseuof,Bandida,Cruz Cafuné
0.836,0.108,85.795,0.408,0.501,0.00129,4,0.689,0,125707,-3.966,0.76,0,spotify:track:2R7ZNlng7Kjdo0Pp4TWNXa,Frío,Omar Apollo
0.241,0.109,79.992,0.055,0.607,0.0737,4,0.728,8,173005,-14.936,0.127,0,spotify:track:1p7kALOTDWOnavJ8y9iH1a,Bamboo,Abhir Hathi
0.491,0.5,90.196,0.222,0.169,0.000317,4,0.585,9,242560,-10.083,0.343,0,spotify:track:5mLcaGVV89H58FWJ677E6K,Worry,Jack Garratt
0.538,0.149,129.092,0.0421,0.895,0.000581,4,0.367,8,233160,-5.121,0.274,0,spotify:track:4jDDaKTqcZQWvgubuW6N7l,Unknown (To You),Jacob Banks
0.366,0.177,136.128,0.0384,0.568,0.0,4,0.662,2,241573,-8.848,0.329,1,spotify:track:3gevHqNgAIl0dqFenYqkiM,Kumbaya (feat. Bibi Bourelly),Jacob Banks
0.602,0.111,164.977,0.233,0.113,0.00565,4,0.732,8,135942,-8.269,0.311,0,spotify:track:0i6yAQfh2QtN4G2R0ah7HU,Saudade,Indigo Jams
0.17,0.107,79.282,0.0389,0.963,3.38e-05,3,0.643,5,256000,-9.061,0.337,1,spotify:track:0Peh9vSnImMMTznniOJcsj,Loved by You,KIRBY
0.449,0.0918,109.017,0.0276,0.694,0.00192,4,0.814,5,277547,-8.533,0.782,0,spotify:track:1rcMW5ejqjS4LeguNOP16B,Salima,Jehro
0.064,0.0957,108.141,0.0513,0.949,0.0,3,0.518,2,254813,-14.572,0.154,1,spotify:track:71cLwuw0yKKcKlHDiccxNn,Peace Of Mind,Jacob Banks
0.248,0.334,78.987,0.2,0.62,0.00167,4,0.78,1,251043,-13.038,0.61,0,spotify:track:1oIpwBmGpFoDaTNSChovk5,Leche y Galletitas,Illya Lukyanov
0.341,0.0948,67.79,0.175,0.391,4.1e-05,4,0.65,7,191710,-7.219,0.315,1,spotify:track:00lvdgcwbcxqYy8nMSxi2L,Cigarro,Choclock
0.482,0.313,109.968,0.0312,0.075,0.671,4,0.752,0,253108,-12.355,0.416,0,spotify:track:3ExouBnPEYYinN7pS3imZK,Rose Quartz,Toro y Moi
0.48,0.129,79.994,0.235,0.397,1.29e-05,4,0.703,5,180375,-6.586,0.355,1,spotify:track:1I31JZ3Ag3tmAC40VHV4SX,Thank You,Bret James
0.464,0.142,65.485,0.0296,0.331,0.00319,4,0.636,0,230404,-8.5,0.374,1,spotify:track:12IoBmDGa1jVnFrsaFYxY3,Cold,Nick Hakim
0.475,0.111,81.061,0.0338,0.816,0.000979,4,0.622,0,239147,-8.25,0.375,1,spotify:track:60X27YpD3MIatR2K28zi3c,Witness,Jacob Banks
0.352,0.102,77.129,0.0921,0.936,0.224,1,0.193,3,285440,-10.821,0.162,0,spotify:track:35zX9FPuA6qg9bqx79eskS,Woods,Bon Iver
0.326,0.24,123.799,0.0342,0.731,0.00131,3,0.753,7,245827,-9.883,0.237,1,spotify:track:3SktMqZmo3M9zbB7oKMIF7,Gravity,John Mayer
0.256,0.144,118.902,0.0481,0.491,0.00612,3,0.772,7,210240,-8.545,0.357,0,spotify:track:2k9N4caeCIJLOWwWwssrEM,Easily,Bruno Major
0.492,0.181,150.014,0.0414,0.196,1.75e-05,4,0.583,4,283627,-8.712,0.149,0,spotify:track:2pvtCS4dkBk55UWcOhxHf3,Addicted,JMSN
0.189,0.364,156.643,0.0384,0.889,0.428,4,0.367,2,384080,-15.736,0.177,1,spotify:track:4qyfir5Yr7nfo05g6cyFMT,Promise,Ben Howard
0.665,0.137,143.988,0.0499,0.0433,0.0689,4,0.64,5,285986,-10.317,0.238,0,spotify:track:3UdTzeti3zWxDnFz7NUWgR,So Many Details,Toro y Moi
0.357,0.107,107.298,0.0586,0.514,0.716,3,0.457,1,449267,-12.198,0.135,0,spotify:track:2VmhAA3z2bhXPs6TQ5wqV4,Desire,José James
0.441,0.0666,139.615,0.0677,0.666,0.000206,4,0.611,2,73387,-12.442,0.496,0,spotify:track:5sz8s4iF6TaHKii8fbolOU,III. Urn,Childish Gambino
0.407,0.0936,129.944,0.0995,0.128,0.00016,4,0.839,11,277159,-6.792,0.462,0,spotify:track:4CsVY9yb2jXJVJiIgkjjxg,Forever,The-Dream
0.33,0.22,103.553,0.164,0.64,7e-06,4,0.545,1,248467,-11.719,0.399,0,spotify:track:6lzLjIOyWTyTJvk0jraYee,Could've Been (feat. Bryson Tiller),H.E.R.
0.605,0.138,81.047,0.075,0.214,0.0,4,0.717,11,217118,-5.68,0.387,0,spotify:track:7noud145AHZGg74vpWOsCa,Trip,Ella Mai
0.486,0.123,86.58,0.15,0.381,0.0,4,0.717,6,227159,-5.664,0.072,0,spotify:track:4KhMkiipzCiiP0CbO5aAQg,Dirty,Tank
0.322,0.0987,184.102,0.0975,0.254,0.0476,4,0.681,9,225183,-7.673,0.27,1,spotify:track:1gZKiNQxio33DYavekAVCy,A Media Luz,Dawaira
0.271,0.175,116.019,0.0414,0.037,0.0,4,0.764,0,262453,-5.697,0.0371,1,spotify:track:4c2xt1trwYZpMqPWY35Xi9,Jaded,Drake
0.585,0.184,136.892,0.0577,0.291,0.0,4,0.481,4,185812,-4.609,0.252,0,spotify:track:6bjyOsd0goiBLjHb9rbeLB,Sudas de Mi,Cristina Len
0.425,0.118,126.111,0.209,0.327,0.0,4,0.844,9,202386,-5.703,0.562,0,spotify:track:1sBTQCKkwXX8NPQE8qSqcP,Balaperdida,Cruz Cafuné
0.476,0.106,122.915,0.0616,0.12,0.000716,4,0.581,7,238440,-9.701,0.067,0,spotify:track:7aQWLer2yZzMquXVCyQQRC,Sloo,Last Night In Paris
0.218,0.106,91.991,0.0388,0.85,0.000125,4,0.687,9,206027,-13.539,0.269,0,spotify:track:11L064movtyopGdLiX4sVg,Peak,Drake
0.603,0.0618,176.263,0.179,0.0334,0.0,3,0.403,8,221695,-5.887,0.305,1,spotify:track:6vz4djKKPRw7OBWLMKcEBG,Lento (feat. Cruz Cafuné),Eva Ruiz
0.368,0.107,173.464,0.0339,0.776,0.00449,4,0.234,6,208874,-8.283,0.152,0,spotify:track:5SdUxJHcetdzDAMdSPMthi,Last Stand,Kwabs
0.281,0.068,116.027,0.111,0.149,2.56e-06,4,0.906,9,223798,-10.002,0.338,0,spotify:track:0yMITXNSc0ZQ4ladG3gDhy,Doble Tick Azul,Cruz Cafuné
0.147,0.104,94.067,0.126,0.625,1.77e-06,4,0.847,2,224731,-15.548,0.226,0,spotify:track:5DWeGrNnIwFoOcdi86YhdK,Fácil,Choclock
0.259,0.0855,79.839,0.0892,0.0803,0.0,4,0.709,1,238120,-14.341,0.265,0,spotify:track:2ZB8Zwf6wd3PUMlSJKR2bG,Fire & Desire,Drake
0.646,0.696,89.999,0.151,0.0881,3.25e-06,4,0.648,2,286804,-7.179,0.439,0,spotify:track:3x4N8cIomNkSmm0WiA8xqQ,Te Enamoraste de un G,Cruz Cafuné
0.233,0.106,176.569,0.0587,0.951,0.000322,3,0.392,11,268813,-11.012,0.494,0,spotify:track:0C3W4yLCuyUxIEwkSpBO8H,Pink Matter,Frank Ocean
